Particle ID,Area (ABD),Area (Filled),Aspect Ratio,Average Blue,Average Green,Average Red,Calibration Factor,Calibration Image,Camera,Capture X,Capture Y,Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter,Convexity,Date,Diameter (ABD),Diameter (ESD),Diameter (FD),Edge Gradient,Elapsed Time,Elongation,Feret Angle Max,Feret Angle Min,Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Image File,Image Height,Image Width,Image X,Image Y,Intensity,Length,Original Reference ID,Particles Per Chain,Perimeter,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Scatter Area,Scatter Peak,Scatter Width,Sigma Intensity,Source Image,Sphere Complement,Sphere Count,Sphere Unknown,Sphere Volume,Sum Intensity,Symmetry,Time,Timestamp,Transparency,Volume (ABD),Volume (ESD),Width
21,21633.3776,21633.3776,0.8545,115.8576,122.2669,125.5153,1.8293,1,1,597,1440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2490,0.0259,0.0483,38.6070,2079.1103,0.0830,2019-08-15,165.9653,657.9890,165.9653,99.0066,3.1720,119.2791,-75.0000,40.0000,1.1164,0.4725,0.0000,0.0084,1686.0406,14.1353,E01_20190815_4x_01_000001.tif,431,336,621,0,120.7183,796.6601,4192C5A1-A0FC-47C3-9D6C-17F67071CF2C,1,3400.3516,0.9476,1.0834,1.0266,1.6355,0.0000,0.0000,0.0000,24.9806,18,0.0000,0,0.0000,0.0000,859756.0000,0.5414,12:27:53,2019-08-15T12:27:53.722,0.7478,2.393593e+06,1.491608e+08,498.4842
22,569.1359,615.4764,0.7661,111.2241,116.1966,118.6241,1.8293,1,1,791,1274,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8048,0.9198,0.9556,1.0872,105.7120,1.0000,2019-08-15,26.9193,29.7769,27.9937,78.1930,3.1720,1.0000,-55.0000,0.0000,0.0000,1.1407,0.0000,1.0000,29.6667,29.6667,E01_20190815_4x_01_000001.tif,26,21,959,0,114.9966,33.8421,C68F3C3D-B908-4562-B3A2-DCFCD1696348,1,118.6668,0.9572,1.0665,1.0209,1.1225,0.0000,0.0000,0.0000,25.9519,18,0.0000,0,0.0000,0.0000,33349.0000,0.8118,12:27:53,2019-08-15T12:27:53.722,0.0960,1.021381e+04,1.382416e+04,22.8663
23,892.8432,892.8432,0.5470,122.2276,126.6489,127.0194,1.8293,1,1,649,924,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6230,0.8313,0.8324,1.2029,131.6940,1.0000,2019-08-15,33.7165,38.0088,33.7165,37.8507,3.1720,1.0000,60.0000,-45.0000,0.0000,1.3922,0.0000,1.0000,36.1343,36.1343,E01_20190815_4x_01_000001.tif,29,29,982,0,125.3753,50.3057,A98404CD-D998-43F8-B515-B4AA7C1A7B77,1,144.5370,0.9651,1.0392,1.0029,1.0975,0.0000,0.0000,0.0000,23.7993,18,0.0000,0,0.0000,0.0000,51780.0000,0.8244,12:27:53,2019-08-15T12:27:53.722,0.1129,2.006904e+04,2.875085e+04,24.6955
24,659.6107,659.6107,0.6292,129.7508,133.0923,133.4215,1.8293,1,1,402,65,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7092,0.8291,0.8953,1.2061,112.0834,1.0000,2019-08-15,28.9800,32.1652,28.9800,29.4237,3.1720,1.0000,50.0000,-25.0000,0.0000,1.2254,0.0000,1.0000,32.0968,32.0968,E01_20190815_4x_01_000001.tif,28,24,1013,0,132.1169,39.3299,2925FBE4-9E1D-4A16-8C22-502A5DBF16B9,1,128.3872,0.9749,1.0283,1.0025,1.1455,0.0000,0.0000,0.0000,21.3831,18,0.0000,0,0.0000,0.0000,42938.0000,0.8561,12:27:53,2019-08-15T12:27:53.722,0.0990,1.274369e+04,1.742437e+04,21.0369
25,1792.0302,1794.8848,0.6748,131.1861,138.3560,141.3709,1.8293,1,1,346,1459,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0427,0.2704,23.4363,372.0414,0.2689,2019-08-15,47.7670,114.7886,47.8050,84.0543,3.3430,71.6132,-80.0000,-5.0000,2.1257,0.3199,0.0000,0.0140,420.2573,5.8684,E01_20190815_4x_01_000001.tif,80,53,1039,0,136.5380,134.4536,6A1F14A0-D10B-4FC4-89EF-9EB197AE3DCD,1,852.2515,0.9482,1.0776,1.0218,2.2907,0.0000,0.0000,0.0000,17.6672,19,0.0000,0,0.0000,0.0000,100492.0000,0.0744,12:27:53,2019-08-15T12:27:53.889,0.5839,5.706657e+04,7.919443e+05,79.5746
26,467.7914,467.7914,0.6806,138.8200,141.5120,141.4400,1.8293,1,1,440,1282,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7628,0.9065,0.9236,1.1032,95.0890,1.0000,2019-08-15,24.4051,26.3724,24.4051,26.2353,3.3430,1.0000,-85.0000,20.0000,0.0000,1.1891,0.0000,1.0000,26.9227,26.9227,E01_20190815_4x_01_000001.tif,25,20,1094,0,140.6720,32.0127,746BA169-62BB-46BB-8CA0-342181E8BDBB,1,107.6910,0.9810,1.0189,0.9995,1.1325,0.0000,0.0000,0.0000,14.3216,19,0.0000,0,0.0000,0.0000,35168.0000,0.8493,12:27:53,2019-08-15T12:27:53.889,0.0746,7.611007e+03,9.603908e+03,17.3783
27,335.4360,357.0703,0.5785,133.2347,138.6786,140.2245,1.8293,1,1,730,593,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6758,0.8377,0.8484,1.1938,88.9331,1.0000,2019-08-15,20.6662,24.4415,21.3222,39.8125,3.3430,1.0000,-75.0000,0.0000,0.0000,1.2623,0.0000,1.0000,25.3613,25.3613,E01_20190815_4x_01_000001.tif,25,17,1116,0,137.2347,32.0127,D021248C-57A8-44B2-9522-F36FCE12478A,1,101.4454,0.9607,1.0525,1.0111,1.1407,0.0000,0.0000,0.0000,12.4510,19,0.0000,0,0.0000,0.0000,26898.0000,0.6541,12:27:53,2019-08-15T12:27:53.889,0.1545,4.621451e+03,7.645064e+03,15.5490
28,513.0970,513.0970,0.3147,98.7724,98.1716,97.3769,1.8293,1,1,190,997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2993,0.5046,0.5187,1.9819,126.3211,0.9241,2019-08-15,25.5596,36.5860,25.5596,142.4110,3.5150,3.9748,-85.0000,10.0000,0.1064,0.9039,0.0000,0.2516,59.7046,15.0209,E01_20190815_4x_01_000001.tif,37,17,1135,0,98.2575,53.9643,F07B9FCC-99C8-4629-826C-809EAD6F3A0E,1,149.4510,1.0061,0.9859,0.9919,1.1831,0.0000,0.0000,0.0000,39.4219,20,0.0000,0,0.0000,0.0000,26333.0000,0.5128,12:27:54,2019-08-15T12:27:54.057,0.3014,8.743051e+03,2.564150e+04,13.7197
29,4309.6195,4605.2525,0.5982,139.3925,145.6918,147.9440,1.8293,1,1,785,419,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0580,0.0782,0.5064,12.7839,418.8885,0.4573,2019-08-15,74.0755,129.4738,76.5741,27.4644,3.5150,38.1356,70.0000,-5.0000,1.8348,0.3528,0.0000,0.0262,464.1264,12.1704,E01_20190815_4x_01_000001.tif,94,61,0,595,144.0541,163.7224,5D6678F6-428E-412F-A4B6-03D94DF22620,2,952.5937,0.9568,1.0613,1.0155,2.2741,0.0000,0.0000,0.0000,9.1625,20,0.0000,0,0.0000,0.0000,229046.0000,0.3340,12:27:54,2019-08-15T12:27:54.057,0.4279,2.128248e+05,1.136434e+06,94.2090
30,2058.8523,2058.8523,0.1289,130.6429,136.5537,138.9228,1.8293,1,1,457,444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3035,0.2466,3.2944,314.0574,1.0000,2019-08-15,51.1997,96.1907,51.1997,27.3081,3.6720,8.2281,-90.0000,0.0000,0.0389,0.9626,0.0000,0.1215,151.0816,18.3617,E01_20190815_4x_01_000001.tif,88,17,63,595,135.0700,145.4293,57147977-727B-468B-AA63-54F429AE38CE,1,338.8867,0.9567,1.0634,1.0173,1.0791,0.0000,0.0000,0.0000,16.3521,21,0.0000,0,0.0000,0.0000,111973.0000,0.8543,12:27:54,2019-08-15T12:27:54.224,0.4677,7.027512e+04,4.660127e+05,15.5490
