Name,Date,Time,CollageFile,ImageFilename,Id,GroupId,Uuid,SrcImage,SrcX,SrcY,ImageX,ImageY,ImageW,ImageH,Timestamp,ElapsedTime,CalConst,CalImage,AbdArea,AbdDiameter,AbdVolume,AspectRatio,AvgBlue,AvgGreen,AvgRed,BiovolumeCylinder,BiovolumePSpheroid,BiovolumeSphere,Ch1Area,Ch1Peak,Ch1Width,Ch2Area,Ch2Ch1Ratio,Ch2Peak,Ch2Width,Ch3Area,Ch3Peak,Ch3Width,CircleFit,Circularity,CircularityHu,Compactness,ConvexPerimeter,Convexity,EdgeGradient,Elongation,EsdDiameter,EsdVolume,FdDiameter,FeretMaxAngle,FeretMinAngle,FiberCurl,FiberStraightness,FilledArea,FilterScore,GeodesicAspectRatio,GeodesicLength,GeodesicThickness,Intensity,Length,Perimeter,Ppc,RatioBlueGreen,RatioRedBlue,RatioRedGreen,Roughness,ScatterArea,ScatterPeak,SigmaIntensity,SphereComplement,SphereCount,SphereUnknown,SphereVolume,SumIntensity,Symmetry,Transparency,Width,BiovolumeMS,SurfaceAreaMS,Preprocessing,PreprocessingTrue,LabelPredicted,ProbabilityScore,LabelTrue,LC_Label,LC_Excluded,LC_Seen
E01_20190815_4x_01,2019-08-15,12:27:53,E01_20190815_4x_01_000001.tif,,21,,4192C5A1-A0FC-47C3-9D6C-17F67071CF2C,18,597,1440,621,0,336,431,2019-08-15 12:27:53.722000,3.172,1.8293,1,21633.3776,165.9653,2393593.0,0.8545,115.8576,122.2669,125.5153,,,,0,0,0,0,0,0,0,,,,0.249,0.0259,0.0483,38.607,2079.1103,0.083,99.0066,119.2791,657.989,149160800.0,165.9653,-75,40,1.1164,0.4725,21633.3776,0,0.0084,1686.0406,14.1353,120.7183,796.6601,3400.3516,1,,,,1.6355,0,0,24.9806,0,0,0,0,859756,0.5414,0.7478,498.4842,115833.09,54919.61,object,,CyaPlarub_3218379,0.9999865,,,BacAstfor_3192686,1
E01_20190815_4x_01,2019-08-15,12:27:53,E01_20190815_4x_01_000001.tif,,22,,C68F3C3D-B908-4562-B3A2-DCFCD1696348,18,791,1274,959,0,21,26,2019-08-15 12:27:53.722000,3.172,1.8293,1,569.1359,26.9193,10213.81,0.7661,111.2241,116.1966,118.6241,,,,0,0,0,0,0,0,0,,,,0.8048,0.9198,0.9556,1.0872,105.712,1.0,78.193,1.0,29.7769,13824.16,27.9937,-55,0,0.0,1.1407,615.4764,0,1.0,29.6667,29.6667,114.9966,33.8421,118.6668,1,,,,1.1225,0,0,25.9519,0,0,0,0,33349,0.8118,0.096,22.8663,5555.83,1943.07,object,,Detritus,0.9401669,,,BacAstfor_3192686,1
E01_20190815_4x_01,2019-08-15,12:27:53,E01_20190815_4x_01_000001.tif,,23,,A98404CD-D998-43F8-B515-B4AA7C1A7B77,18,649,924,982,0,29,29,2019-08-15 12:27:53.722000,3.172,1.8293,1,892.8432,33.7165,20069.04,0.547,122.2276,126.6489,127.0194,,,,0,0,0,0,0,0,0,,,,0.623,0.8313,0.8324,1.2029,131.694,1.0,37.8507,1.0,38.0088,28750.85,33.7165,60,-45,0.0,1.3922,892.8432,0,1.0,36.1343,36.1343,125.3753,50.3057,144.537,1,,,,1.0975,0,0,23.7993,0,0,0,0,51780,0.8244,0.1129,24.6955,5709.56,2205.33,object,,Detritus,0.98503995,,,BacAstfor_3192686,1
E01_20190815_4x_01,2019-08-15,12:27:53,E01_20190815_4x_01_000001.tif,,24,,2925FBE4-9E1D-4A16-8C22-502A5DBF16B9,18,402,65,1013,0,24,28,2019-08-15 12:27:53.722000,3.172,1.8293,1,659.6107,28.98,12743.69,0.6292,129.7508,133.0923,133.4215,,,,0,0,0,0,0,0,0,,,,0.7092,0.8291,0.8953,1.2061,112.0834,1.0,29.4237,1.0,32.1652,17424.37,28.98,50,-25,0.0,1.2254,659.6107,0,1.0,32.0968,32.0968,132.1169,39.3299,128.3872,1,,,,1.1455,0,0,21.3831,0,0,0,0,42938,0.8561,0.099,21.0369,14247.56,3755.62,object,,Detritus,0.7827414,,,BacAstfor_3192686,1
E01_20190815_4x_01,2019-08-15,12:27:53,E01_20190815_4x_01_000001.tif,,25,,6A1F14A0-D10B-4FC4-89EF-9EB197AE3DCD,19,346,1459,1039,0,53,80,2019-08-15 12:27:53.889000,3.343,1.8293,1,1792.0302,47.767,57066.57,0.6748,131.1861,138.356,141.3709,,,,0,0,0,0,0,0,0,,,,0.0,0.0427,0.2704,23.4363,372.0414,0.2689,84.0543,71.6132,114.7886,791944.3,47.805,-80,-5,2.1257,0.3199,1794.8848,0,0.014,420.2573,5.8684,136.538,134.4536,852.2515,1,,,,2.2907,0,0,17.6672,0,0,0,0,100492,0.0744,0.5839,79.5746,9771.44,6511.86,object,,BacAstfor_3192686,1.0,,,,0
E01_20190815_4x_01,2019-08-15,12:27:53,E01_20190815_4x_01_000001.tif,,26,,746BA169-62BB-46BB-8CA0-342181E8BDBB,19,440,1282,1094,0,20,25,2019-08-15 12:27:53.889000,3.343,1.8293,1,467.7914,24.4051,7611.007,0.6806,138.82,141.512,141.44,,,,0,0,0,0,0,0,0,,,,0.7628,0.9065,0.9236,1.1032,95.089,1.0,26.2353,1.0,26.3724,9603.908,24.4051,-85,20,0.0,1.1891,467.7914,0,1.0,26.9227,26.9227,140.672,32.0127,107.691,1,,,,1.1325,0,0,14.3216,0,0,0,0,35168,0.8493,0.0746,17.3783,10104.04,2990.92,object,,Detritus,0.8674175,,,BacAstfor_3192686|CyaLim000_0000000,1
E01_20190815_4x_01,2019-08-15,12:27:53,E01_20190815_4x_01_000001.tif,,27,,D021248C-57A8-44B2-9522-F36FCE12478A,19,730,593,1116,0,17,25,2019-08-15 12:27:53.889000,3.343,1.8293,1,335.436,20.6662,4621.451,0.5785,133.2347,138.6786,140.2245,,,,0,0,0,0,0,0,0,,,,0.6758,0.8377,0.8484,1.1938,88.9331,1.0,39.8125,1.0,24.4415,7645.064,21.3222,-75,0,0.0,1.2623,357.0703,0,1.0,25.3613,25.3613,137.2347,32.0127,101.4454,1,,,,1.1407,0,0,12.451,0,0,0,0,26898,0.6541,0.1545,15.549,3424.44,1558.28,object,,Detritus,0.9890307,,,BacAstfor_3192686,1
E01_20190815_4x_01,2019-08-15,12:27:54,E01_20190815_4x_01_000001.tif,,28,,F07B9FCC-99C8-4629-826C-809EAD6F3A0E,20,190,997,1135,0,17,37,2019-08-15 12:27:54.057000,3.515,1.8293,1,513.097,25.5596,8743.051,0.3147,98.7724,98.1716,97.3769,,,,0,0,0,0,0,0,0,,,,0.2993,0.5046,0.5187,1.9819,126.3211,0.9241,142.411,3.9748,36.586,25641.5,25.5596,-85,10,0.1064,0.9039,513.097,0,0.2516,59.7046,15.0209,98.2575,53.9643,149.451,1,,,,1.1831,0,0,39.4219,0,0,0,0,26333,0.5128,0.3014,13.7197,3831.62,2239.17,object,,Detritus,0.73478115,,,,0
E01_20190815_4x_01,2019-08-15,12:27:54,E01_20190815_4x_01_000001.tif,,29,,5D6678F6-428E-412F-A4B6-03D94DF22620,20,785,419,0,595,61,94,2019-08-15 12:27:54.057000,3.515,1.8293,1,4309.6195,74.0755,212824.8,0.5982,139.3925,145.6918,147.944,,,,0,0,0,0,0,0,0,,,,0.058,0.0782,0.5064,12.7839,418.8885,0.4573,27.4644,38.1356,129.4738,1136434.0,76.5741,70,-5,1.8348,0.3528,4605.2525,0,0.0262,464.1264,12.1704,144.0541,163.7224,952.5937,2,,,,2.2741,0,0,9.1625,0,0,0,0,229046,0.334,0.4279,94.209,22461.48,11080.57,object,,BacAstfor_3192686,0.99703175,,,,0
E01_20190815_4x_01,2019-08-15,12:27:54,E01_20190815_4x_01_000001.tif,,30,,57147977-727B-468B-AA63-54F429AE38CE,21,457,444,63,595,17,88,2019-08-15 12:27:54.224000,3.672,1.8293,1,2058.8523,51.1997,70275.12,0.1289,130.6429,136.5537,138.9228,,,,0,0,0,0,0,0,0,,,,0.0,0.3035,0.2466,3.2944,314.0574,1.0,27.3081,8.2281,96.1907,466012.7,51.1997,-90,0,0.0389,0.9626,2058.8523,0,0.1215,151.0816,18.3617,135.07,145.4293,338.8867,1,,,,1.0791,0,0,16.3521,0,0,0,0,111973,0.8543,0.4677,15.549,126503.02,24114.33,object,,CyaPlarub_3218379,0.59144765,,,,0
